addr1,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode
경기도 고양시 일산동구 호수로 595,31,A02,A0207,A02070200,141799,15,20070424000000,http://tong.visitkorea.or.kr/cms/resource/80/2601280_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2601280_image2_1.jpg,126.7686849202,37.6539736577,6,20200325104012,572045,2,031-908-7750,고양국제꽃박람회 2020,10400
제주특별자치도 서귀포시 남원읍 신례동로 256,39,A02,A0202,A02020600,322836,12,20071211113035,http://tong.visitkorea.or.kr/cms/resource/47/2615547_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/47/2615547_image2_1.bmp,126.6344317363,33.3085171454,6,20200526141048,499370,3,,휴애리자연생활공원,63608
경상남도 김해시 장유로 555,36,A02,A0202,A02020300,1921423,12,20140527141527,http://tong.visitkorea.or.kr/cms/resource/10/1921410_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/1921410_image2_1.jpg,128.8291361340,35.1810435696,6,20200602152405,468948,4,,김해 롯데워터파크,51011
인천광역시 중구 을왕로13번길 15,2,A01,A0101,A01011200,128767,12,20060126000000,http://tong.visitkorea.or.kr/cms/resource/24/1784824_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/1784824_image3_1.jpg,126.3729296657,37.4450909900,6,20200608160856,455237,10,,을왕리해수욕장,22383
충청남도 금산군 추부면 검한1길 156,34,A02,A0202,A02020600,2022638,12,20150805140910,http://tong.visitkorea.or.kr/cms/resource/96/2548096_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2548096_image3_1.jpg,127.4837737157,36.2249844937,6,20200603145050,423523,2,,하늘물빛정원,32710
경상남도 남해군 삼동면 금암로 658,36,A01,A0101,A01010600,126959,12,20040225000000,http://tong.visitkorea.or.kr/cms/resource/12/1991512_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/1991512_image3_1.jpg,128.0201541540,34.7521437800,6,20190626131239,345774,5,,국립 남해편백자연휴양림,52448
전라남도 담양군 담양읍 죽녹원로 119,38,A01,A0101,A01010700,128834,12,20060313000000,http://tong.visitkorea.or.kr/cms/resource/18/2612518_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2612518_image3_1.jpg,126.9855748414,35.3278000230,6,20200603113211,337879,7,,죽녹원,57336
경상남도 거제시 일운면 외도길 17,36,A02,A0202,A02020600,126581,12,20031029000000,http://tong.visitkorea.or.kr/cms/resource/93/2612893_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2612893_image3_1.jpg,128.7113935264,34.7694763580,6,20200601132711,325218,1,,외도 보타니아,53329
경상북도 청도군 운문면 운문로 763,35,A01,A0101,A01010600,127167,12,20040219000000,http://tong.visitkorea.or.kr/cms/resource/04/582804_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/582804_image3_1.jpg,129.0228646313,35.6492056312,7,20200528151843,308629,20,054-371-1323,국립 운문산자연휴양림,38368
인천광역시 중구 월미문화로 36,2,A01,A0101,A01011300,127585,12,20030909000000,,,126.5975833151,37.4754052899,6,20200603112153,307859,10,,월미도,22303
