,tag1,code1,tag2,code2,tag3,code3
0,자연,A01,자연관광지,A0101,국립공원,A01010100
1,자연,A01,자연관광지,A0101,도립공원,A01010200
2,자연,A01,자연관광지,A0101,군립공원,A01010300
3,자연,A01,자연관광지,A0101,산,A01010400
4,자연,A01,자연관광지,A0101,자연생태관광지,A01010500
5,자연,A01,자연관광지,A0101,자연휴양림,A01010600
6,자연,A01,자연관광지,A0101,수목원,A01010700
7,자연,A01,자연관광지,A0101,폭포,A01010800
8,자연,A01,자연관광지,A0101,계곡,A01010900
9,자연,A01,자연관광지,A0101,약수터,A01011000
10,자연,A01,자연관광지,A0101,해안절경,A01011100
11,자연,A01,자연관광지,A0101,해수욕장,A01011200
12,자연,A01,자연관광지,A0101,섬,A01011300
13,자연,A01,자연관광지,A0101,항구/포구,A01011400
14,자연,A01,자연관광지,A0101,어촌,A01011500
15,자연,A01,자연관광지,A0101,등대,A01011600
16,자연,A01,자연관광지,A0101,호수,A01011700
17,자연,A01,자연관광지,A0101,강,A01011800
18,자연,A01,자연관광지,A0101,동굴,A01011900
19,자연,A01,관광자원,A0102,희귀동.식물,A01020100
20,자연,A01,관광자원,A0102,기암괴석,A01020200
21,인문(문화/예술/역사),A02,역사관광지,A0201,고궁,A02010100
22,인문(문화/예술/역사),A02,역사관광지,A0201,성,A02010200
23,인문(문화/예술/역사),A02,역사관광지,A0201,문,A02010300
24,인문(문화/예술/역사),A02,역사관광지,A0201,고택,A02010400
25,인문(문화/예술/역사),A02,역사관광지,A0201,생가,A02010500
26,인문(문화/예술/역사),A02,역사관광지,A0201,민속마을,A02010600
27,인문(문화/예술/역사),A02,역사관광지,A0201,유적지/사적지,A02010700
28,인문(문화/예술/역사),A02,역사관광지,A0201,사찰,A02010800
29,인문(문화/예술/역사),A02,역사관광지,A0201,종교성지,A02010900
30,인문(문화/예술/역사),A02,역사관광지,A0201,안보관광,A02011000
31,인문(문화/예술/역사),A02,휴양관광지,A0202,유원지,A02020100
32,인문(문화/예술/역사),A02,휴양관광지,A0202,관광단지,A02020200
33,인문(문화/예술/역사),A02,휴양관광지,A0202,온천/욕장/스파,A02020300
34,인문(문화/예술/역사),A02,휴양관광지,A0202,이색찜질방,A02020400
35,인문(문화/예술/역사),A02,휴양관광지,A0202,헬스투어,A02020500
36,인문(문화/예술/역사),A02,휴양관광지,A0202,테마공원,A02020600
37,인문(문화/예술/역사),A02,휴양관광지,A0202,공원,A02020700
38,인문(문화/예술/역사),A02,휴양관광지,A0202,유람선/잠수함관광,A02020800
39,인문(문화/예술/역사),A02,체험관광지,A0203,농.산.어촌 체험,A02030100
40,인문(문화/예술/역사),A02,체험관광지,A0203,전통체험,A02030200
41,인문(문화/예술/역사),A02,체험관광지,A0203,산사체험,A02030300
